,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,PURCHASE_DATE_CT,row_num,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,BIRTH_DATE_FIX,CREATED_DATE_CT
0,589dc798-7692-46f6-8664-e6cb8571a7c6,2024-06-21,2024-06-21 13:34:35.381 Z,FIRELAKE EXPRESS GROCERY,6323afdd138f4b3c62bc6e03,2670012915.0,1.00,3.89,1.0,3.89,2024-06-21 00:00:00.000000,1,Snacks,Dips & Salsa,French Onion Dip,,DAIRY FARMERS OF AMERICA,DEAN'S DAIRY,6323afdd138f4b3c62bc6e03,2022-09-15 23:06:05.000000,1958-07-17 00:00:00.000 Z,OK,en,female,1958-07-17 00:00:00.000000,2022-09-15 23:06:05.000000
1,04e48cb8-ee37-49a8-9d4a-4331a06fe687,2024-08-06,2024-08-06 14:12:05.106 Z,WALMART,64dd9170516348066e7c4006,11111613393.0,1.00,11.97,1.0,11.97,2024-08-06 00:00:00.000000,1,Health & Wellness,Bath & Body,Bar Soap,,UNILEVER,DOVE,64dd9170516348066e7c4006,2023-08-17 03:18:08.000000,1993-12-11 04:18:09.000 Z,SC,en,female,1993-12-11 04:18:09.000000,2023-08-17 03:18:08.000000
2,af352c94-06fb-4e09-a513-2eb06471b074,2024-08-14,2024-08-26 18:04:26.351 Z,WALMART,5f9414c65896841696c17359,11111613782.0,1.00,11.97,1.0,11.97,2024-08-14 00:00:00.000000,1,Health & Wellness,Bath & Body,Bar Soap,,UNILEVER,DOVE,5f9414c65896841696c17359,2020-10-24 11:49:27.000000,1972-05-26 00:00:00.000 Z,FL,en,male,1972-05-26 00:00:00.000000,2020-10-24 11:49:27.000000
3,a593f305-4cd0-4e6a-ba77-d01c7058936e,2024-06-20,2024-06-20 13:46:10.350 Z,WALGREENS,6236764181c1450ec756f06d,12044051399.0,1.00,4.24,1.0,4.24,2024-06-20 00:00:00.000000,1,Health & Wellness,Bath & Body,Body Wash,,PROCTER & GAMBLE,OLD SPICE,6236764181c1450ec756f06d,2022-03-20 00:33:05.000000,1993-01-05 05:00:00.000 Z,NJ,en,male,1993-01-05 05:00:00.000000,2022-03-20 00:33:05.000000
4,703cf412-bf3c-45fc-8b15-e16db23522ed,2024-07-20,2024-07-21 11:17:39.758 Z,SAM'S CLUB,62ffec490d9dbaff18c0a999,12546011846.0,1.00,11.68,1.0,11.68,2024-07-20 00:00:00.000000,1,Snacks,Candy,Gum,,PERFETTI VAN MELLE,TRIDENT,62ffec490d9dbaff18c0a999,2022-08-19 20:02:17.000000,1951-12-24 05:00:00.000 Z,NY,en,female,1951-12-24 05:00:00.000000,2022-08-19 20:02:17.000000
5,81e7b15f-1023-4d7c-9170-515e0052cee5,2024-07-09,2024-07-16 22:53:07.113 Z,KROGER,60330f9ced583b12c513bf34,13300546017.0,1.00,1.25,1.0,1.25,2024-07-09 00:00:00.000000,1,,,,,,,60330f9ced583b12c513bf34,2021-02-22 01:57:48.000000,1954-12-22 00:00:00.000 Z,KY,en,female,1954-12-22 00:00:00.000000,2021-02-22 01:57:48.000000
6,e8540dd0-adb0-432b-82a4-0e9e9afa9a0f,2024-08-21,2024-08-22 10:00:01.173 Z,FOOD LION,5f21e60446f11314a16015de,14100047070.0,1.00,3.79,1.0,3.79,2024-08-21 00:00:00.000000,1,,,,,,,5f21e60446f11314a16015de,2020-07-29 21:11:32.000000,1980-07-29 04:00:00.000 Z,NC,en,male,1980-07-29 04:00:00.000000,2020-07-29 21:11:32.000000
7,08ab1166-9c0b-463c-8980-d62c71b72307,2024-08-26,2024-08-27 10:43:23.976 Z,WALMART,61a58ac49c135b462ccddd1c,16000171084.0,1.00,4.93,1.0,4.93,2024-08-26 00:00:00.000000,1,,,,,,,61a58ac49c135b462ccddd1c,2021-11-30 02:21:56.000000,1996-05-20 00:00:00.000 Z,TN,en,female,1996-05-20 00:00:00.000000,2021-11-30 02:21:56.000000
8,42f44604-4ee6-4a2c-866d-4f9ea537e3a1,2024-06-14,2024-06-15 10:30:45.620 Z,WALMART,61a58ac49c135b462ccddd1c,21000057184.0,1.00,7.47,1.0,7.47,2024-06-14 00:00:00.000000,1,,,,,,,61a58ac49c135b462ccddd1c,2021-11-30 02:21:56.000000,1996-05-20 00:00:00.000 Z,TN,en,female,1996-05-20 00:00:00.000000,2021-11-30 02:21:56.000000
9,3c6b21b7-4f9e-4316-98e5-8842c5491871,2024-08-30,2024-09-03 12:35:17.267 Z,TARGET,5fd4fb485f410d44bae3a776,22400643366.0,2.00,14.58,2.0,14.58,2024-08-30 00:00:00.000000,1,Health & Wellness,Hair Care,Hair Styling Products,,UNILEVER,TRESEMMÉ,5fd4fb485f410d44bae3a776,2020-12-12 17:18:00.000000,1979-01-23 00:00:00.000 Z,CA,es-419,female,1979-01-23 00:00:00.000000,2020-12-12 17:18:00.000000
